matrix,engine,framework,ttfp_ms
20,WFA,Euler d1,21.43429999705404
20,WFA,Euler d2,32.632500006002374
20,WFA,Euler d3,39.941800001543015
20,WFA,Euler d4,45.4427999939071
20,GW (dyn=stat),BvN,1.6602999967290089
20,GW (dyn=stat),Radix B2,3.0666000093333423
20,GW (dyn=stat),Radix B4,1.753599994117394
20,GW (dyn=stat),Radix B8,1.443700006348081
20,GW (dyn=stat),Radix B16,1.1303999926894903
20,GW (dyn=stat),Euler d1,20.93830000376329
20,GW (dyn=stat),Euler d2,32.75009999924805
20,GW (dyn=stat),Euler d3,39.598899995326065
20,GW (dyn=stat),Euler d4,42.318099993281066
21,Hungarian,BvN,1.3517000043066218
21,Hungarian,Radix B2,2.8443000046536326
21,Hungarian,Radix B4,1.713899997412227
21,Hungarian,Radix B8,1.2034000101266429
21,Hungarian,Radix B16,1.0575999913271517
21,Hungarian,Euler d1,21.968200002447702
21,Hungarian,Euler d2,32.97859999292996
21,Hungarian,Euler d3,39.052199994330294
21,Hungarian,Euler d4,43.285200008540414
21,WFA,BvN,0.109200002043508
21,WFA,Radix B2,2.3879999935161322
21,WFA,Radix B4,1.3188000011723489
21,WFA,Radix B8,0.8629999938420951
21,WFA,Radix B16,0.8127999899443239
21,WFA,Euler d1,20.660700000007637
21,WFA,Euler d2,31.75149999151472
21,WFA,Euler d3,37.83970000222325
21,WFA,Euler d4,42.78329999942798
21,GW (dyn=stat),BvN,1.5353999915532768
21,GW (dyn=stat),Radix B2,3.0777999927522615
21,GW (dyn=stat),Radix B4,1.699300017207861
21,GW (dyn=stat),Radix B8,1.4583000011043623
21,GW (dyn=stat),Radix B16,1.138899999205023
21,GW (dyn=stat),Euler d1,22.717500003636815
21,GW (dyn=stat),Euler d2,32.51330000057351
21,GW (dyn=stat),Euler d3,38.46129999146797
21,GW (dyn=stat),Euler d4,43.35999999602791
22,Hungarian,BvN,1.3715999957639724
22,Hungarian,Radix B2,2.9039000073680654
22,Hungarian,Radix B4,1.690799996140413
22,Hungarian,Radix B8,1.2361999979475513
22,Hungarian,Radix B16,1.0286999895470217
22,Hungarian,Euler d1,21.54240000527352
22,Hungarian,Euler d2,31.117900012759492
22,Hungarian,Euler d3,37.60000001057051
22,Hungarian,Euler d4,40.441000019200146
22,WFA,BvN,0.1179000100819394
22,WFA,Radix B2,2.481799994711764
22,WFA,Radix B4,1.406800001859665
22,WFA,Radix B8,0.8860000089043751
